City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tumayr,25.7039,45.868,43.82,5,100,2.19,SA,1690284742
83,chandler,33.3062,-111.8412,34.82,38,0,3.09,US,1690284743
84,nar'yan-mar,67.6713,53.087,21.16,60,50,3.69,RU,1690284743
85,tura,25.5198,90.2201,27.61,85,90,0.89,IN,1690284743
86,dhana,23.75,78.85,30.17,71,92,1.84,IN,1690284744
87,brejo santo,-7.4933,-38.9872,24.13,67,63,3.74,BR,1690284744
88,bisert',56.8617,59.0523,22.98,42,54,4.04,RU,1690284744
89,roxas,11.5853,122.7511,25.08,87,100,6.68,PH,1690284368
90,port saint john's,-31.6229,29.5448,20.81,48,18,5.54,ZA,1690284745
91,agat village,13.3886,144.6585,27.52,94,75,6.69,GU,1690284745
92,jamestown,42.097,-79.2353,18.73,91,0,2.06,US,1690284634
93,alegrete,-29.7831,-55.7919,13.59,95,100,3.43,BR,1690284747
94,garoua boulai,5.8833,14.55,24.07,81,49,1.48,CM,1690284747
95,licheng,23.2955,113.8284,30.68,60,24,1.04,CN,1690284748
96,bahraigh,27.5833,81.6,32.87,59,96,4.26,IN,1690284748
97,peace river,56.2501,-117.286,14.17,100,100,2.06,CA,1690284748
98,quelimane,-17.8786,36.8883,25.97,57,40,5.14,MZ,1690284748
99,qaqortoq,60.7167,-46.0333,6.6,89,100,1.96,GL,1690284749
100,'ali al gharbi,32.4633,46.6864,46.79,5,0,7.8,IQ,1690284749
101,ribeira grande,38.5167,-28.7,23.76,68,20,4.63,PT,1690284749
102,hawaiian paradise park,19.5933,-154.9731,22.73,99,100,4.12,US,1690284750
103,georgetown,5.4112,100.3354,30.97,73,20,2.24,MY,1690284750
104,waingapu,-9.6567,120.2641,22.87,80,87,4.97,ID,1690284750
105,isafjordur,66.0755,-23.124,11.02,76,75,3.6,IS,1690284750
106,leh,34.1667,77.5833,20.86,41,94,2.95,IN,1690284525
107,vilyuchinsk,52.9306,158.4028,17.15,80,13,2.93,RU,1690284751
108,jalarpet,12.5667,78.5833,24.03,78,100,6.37,IN,1690284751
109,rovaniemi,66.5,25.7167,16.67,72,100,3.09,FI,1690284751
110,sao felix do xingu,-6.6447,-51.995,26.47,44,4,0.98,BR,1690284752
111,djenne,13.9061,-4.5533,34.29,42,14,2.33,ML,1690284752
112,moroni,-11.7022,43.2551,29.0,65,40,6.69,KM,1690284753
113,kone,-21.0595,164.8658,17.72,84,95,2.68,NC,1690284753
114,hermanus,-34.4187,19.2345,18.22,52,0,2.33,ZA,1690284753
115,mata-utu,-13.2816,-176.1745,26.79,73,99,8.3,WF,1690284753
116,ta`u,-14.2336,-169.5144,25.71,70,13,5.53,AS,1690284754
117,iskateley,67.6803,53.1512,20.97,60,49,3.56,RU,1690284754
118,palembang,-2.9167,104.7458,30.05,70,20,3.09,ID,1690284442
119,birecik,37.0294,37.9903,38.56,16,0,3.26,TR,1690284755
120,pampa,35.5362,-100.9599,25.53,31,62,7.39,US,1690284755
121,oyem,1.5995,11.5793,26.37,71,83,1.2,GA,1690284755
122,shindand,33.3029,62.1474,38.77,12,3,3.79,AF,1690284755
123,lugus,5.7036,120.8203,28.32,83,87,6.55,PH,1690284756
124,alice springs,-23.7,133.8833,10.75,54,0,2.57,AU,1690284756
125,ma'rib,15.4591,45.3253,40.05,8,90,5.97,YE,1690284757
126,las khorey,11.1595,48.1967,35.74,46,57,1.02,SO,1690284757
127,caluula,11.9661,50.7569,30.15,68,44,6.53,SO,1690284757
128,keflavik,64.0049,-22.5624,13.26,82,100,1.54,IS,1690284757
129,fale old settlement,-9.3852,-171.2468,28.86,74,4,8.69,TK,1690284758
130,kalevala,65.2,31.1667,12.62,95,100,2.63,RU,1690284758
131,baxter,46.3433,-94.2867,18.9,94,100,0.0,US,1690284759
132,puerto aysen,-45.4,-72.7,0.81,99,99,0.39,CL,1690284759
133,san andres,12.5847,-81.7006,28.01,83,40,7.72,CO,1690284759
